Valence, Arousal
-0.58622, 0.6764591
-0.5818768, 0.6982219
-0.5761963, 0.7255157
-0.5761963, 0.7255157
-0.5728431, 0.7515437
-0.5725547, 0.766246
-0.5718786, 0.7684753
-0.5711086, 0.7730876
-0.5688047, 0.7753303
-0.5663994, 0.7759463
-0.5597814, 0.7764275
-0.5481416, 0.7768006
-0.5318593, 0.777463
-0.5130116, 0.778596
-0.5043461, 0.7803562
-0.4741492, 0.8007477
-0.4469958, 0.8053561
-0.4469958, 0.8053561
-0.410511, 0.8116195
-0.3932492, 0.8140189
-0.3811322, 0.8193667
-0.3675161, 0.8205558
-0.3446094, 0.8182364
-0.3290934, 0.8170114
-0.2759642, 0.8103011
-0.1833815, 0.7878493
-0.06682592, 0.7581564
0.03123873, 0.7329663
0.1122798, 0.716621
0.1443709, 0.7125851
0.1861508, 0.7065482
0.1861508, 0.7065482
0.1910647, 0.7038062
0.1924165, 0.701014
0.2032685, 0.6902394
0.2086964, 0.6815409
0.2202693, 0.6640009
0.2291133, 0.6502973
0.2360947, 0.6395888
0.2405553, 0.631494
0.2435254, 0.6246877
0.244292, 0.6211613
0.2453131, 0.6037001
0.2453747, 0.5979324
0.2450645, 0.5725089
0.2450645, 0.5725089
0.2436968, 0.5464396
0.2431192, 0.5312725
0.2428573, 0.5206066
0.2430777, 0.5141714
0.2435368, 0.5120425
0.2456365, 0.5092272
0.2492293, 0.5075034
0.2537885, 0.5065024
0.2584209, 0.5068092
0.2627417, 0.5089472
0.2647346, 0.5101681
0.2684591, 0.5124749
0.273564, 0.5146721
0.273564, 0.5146721
0.27686, 0.51564
0.2797279, 0.5161822
0.2820528, 0.5159585
0.2839515, 0.5146333
0.2855032, 0.5125338
0.2867032, 0.5097698
0.2873745, 0.5065766
0.2875811, 0.5031217
0.287239, 0.499577
0.2863208, 0.4965519
0.2846151, 0.4938843
0.2788025, 0.4904497
0.2750946, 0.4894962
0.2750946, 0.4894962
0.2645433, 0.4886156
0.2476331, 0.4915971
0.2214779, 0.5024958
0.1887311, 0.5214106
0.1723251, 0.5340824
0.1388321, 0.566386
0.110177, 0.6021484
0.09244485, 0.6409978
0.08931684, 0.6546894
-0.07776115, 0.344615
-0.1194272, 0.4052598
-0.1389673, 0.4163109
-0.1653933, 0.441536
-0.1725376, 0.4674699
-0.1550308, 0.4909244
-0.1215965, 0.5277171
-0.08462843, 0.5556964
-0.003567678, 0.615557
0.07495466, 0.6852416
0.1269997, 0.7427031
0.1621257, 0.7779806
0.1906826, 0.7970973
0.1906826, 0.7970973
0.2319795, 0.8271543
0.244531, 0.8301581
0.2696845, 0.836173
0.3046652, 0.841069
0.3368875, 0.8445001
0.3655424, 0.8496348
0.3845447, 0.8548968
0.3956758, 0.8563241
0.3976293, 0.8567594
0.4008211, 0.8567943
0.4044784, 0.8519947
0.4075242, 0.8428439
0.3955852, 0.8288159
0.3955852, 0.8288159
0.3168681, 0.7934866
0.1903505, 0.7687417
0.1502464, 0.7630267
0.09462108, 0.6844286
0.08556677, 0.6587063
0.08471631, 0.5886851
0.09096237, 0.5443721
0.09830046, 0.5191399
0.1023217, 0.5064356
0.1092628, 0.5039809
0.1227262, 0.5052621
0.1315246, 0.5068054
0.165297, 0.563917
0.165297, 0.563917
0.2241919, 0.6304011
0.2743376, 0.6713148
0.3055459, 0.6966172
0.3243214, 0.7052208
0.3332903, 0.7088041
0.3381274, 0.7103654
0.3401774, 0.7128797
0.340784, 0.7134035
0.3414482, 0.7131964
0.3415677, 0.7128411
0.3413189, 0.7115719
0.3388595, 0.7091859
0.3206314, 0.705952
0.3206314, 0.705952
0.1760994, 0.653366
-0.05159962, 0.5229114
-0.3030121, 0.3430595
-0.4567561, 0.116043
-0.5423506, -0.07779
-0.5936799, -0.2300325
-0.6065525, -0.2904996
-0.6158848, -0.3887635
-0.6196521, -0.4581743
-0.6219894, -0.5002155
-0.6210235, -0.5128335
-0.6157737, -0.5262724
-0.610237, -0.5332511
-0.610237, -0.5332511
-0.6058877, -0.5331249
-0.5984089, -0.5319794
-0.5904613, -0.5300044
-0.5798039, -0.5054488
-0.5606663, -0.4472767
-0.5461257, -0.3989377
-0.5112082, -0.2697012
-0.4722929, -0.1284207
-0.4314886, 0.006050637
-0.3765314, 0.1360885
-0.3249241, 0.2547044
-0.2935337, 0.310623
-0.2266825, 0.4543334
-0.2266825, 0.4543334
-0.1776724, 0.5625703
-0.1583895, 0.6219403
-0.1492471, 0.6512669
-0.1427431, 0.6658717
-0.1416779, 0.6721095
-0.1424878, 0.6727004
-0.1435572, 0.6657105
-0.1438573, 0.6640452
-0.1440097, 0.6514846
-0.1443705, 0.6463036
-0.1446898, 0.6438698
-0.1457942, 0.6378224
-0.1461764, 0.6346436
-0.1461764, 0.6346436
-0.1465521, 0.6313897
-0.146736, 0.6308205
-0.1468686, 0.6310179
-0.1469274, 0.6311103
-0.1471143, 0.6313983
-0.1484001, 0.6327182
-0.1509761, 0.6358997
-0.1544394, 0.6415327
-0.1576786, 0.6465101
-0.1615253, 0.6505134
-0.1638625, 0.6471967
-0.114666, 0.7117967
-0.1158992, 0.7246604
-0.1195424, 0.7271628
-0.1255045, 0.7321932
-0.1287804, 0.7304034
-0.1352727, 0.7283898
-0.1364701, 0.7277527
-0.1378628, 0.7254565
-0.1386222, 0.7231919
-0.1384979, 0.7222301
-0.1364698, 0.7204411
-0.133578, 0.718919
-0.1305774, 0.7175708
-0.1276442, 0.716402
-0.1252407, 0.7153965
-0.1232485, 0.7145901
-0.1216434, 0.7138981
-0.1202971, 0.7132857
-0.1197027, 0.7130353
-0.1191709, 0.7128078
-0.1182643, 0.712427
-0.1172104, 0.7119175
-0.1172104, 0.7119175
-0.1166512, 0.7116125
-0.116221, 0.7113638
-0.1158407, 0.7111405
-0.1155825, 0.7110194
-0.1154946, 0.7111681
-0.1156286, 0.7114475
-0.1158343, 0.7116951
-0.1159815, 0.7118514
-0.1160398, 0.7118579
-0.1161467, 0.7113847
-0.1162267, 0.710149
-0.1162332, 0.7085579
-0.1157837, 0.7057896
-0.1157837, 0.7057896
-0.1150047, 0.7037769
-0.1141888, 0.7021148
-0.1132182, 0.700564
-0.1115533, 0.6990769
-0.1090681, 0.6976379
-0.1074682, 0.6971237
-0.1012811, 0.7036249
-0.09452017, 0.7076169
-0.09035956, 0.7106609
-0.08046041, 0.7162283
-0.06957784, 0.7214338
-0.05842597, 0.7256933
-0.04797816, 0.7305229
-0.04324208, 0.7327794
-0.03539222, 0.7364922
-0.02940413, 0.7401078
-0.02494898, 0.7440108
-0.02150393, 0.7475743
-0.01913901, 0.750254
-0.01735776, 0.7523423
-0.01612443, 0.7541233
-0.01562639, 0.7548002
-0.01512896, 0.7619526
-0.01505069, 0.7622759
-0.01498078, 0.7623823
-0.01545577, 0.7639921
-0.01616228, 0.765528
-0.01616228, 0.765528
-0.01737315, 0.7672656
-0.01817032, 0.7679843
-0.01891651, 0.768921
-0.0195462, 0.7697614
-0.0202037, 0.7703006
-0.02095228, 0.7707248
-0.02127536, 0.7708352
-0.02187194, 0.7710366
-0.02237921, 0.7711439
-0.02286416, 0.7711572
-0.02329521, 0.770901
-0.02366843, 0.770375
-0.02384541, 0.7695014
-0.02384541, 0.7695014
-0.02364272, 0.7674477
-0.02351827, 0.7669256
-0.02298785, 0.7656068
-0.02239257, 0.7643287
-0.02180606, 0.7630006
-0.0211432, 0.7616111
-0.02085256, 0.7609416
-0.02020662, 0.7596602
-0.01964716, 0.7584903
-0.01915638, 0.7575122
-0.01871885, 0.7565902
-0.01832376, 0.7557241
-0.01787693, 0.7548089
-0.01787693, 0.7548089
-0.01674519, 0.7534318
-0.01560946, 0.752409
-0.01348042, 0.7512802
-0.009919564, 0.7496686
-0.007606799, 0.7486882
0.001981833, 0.7451433
0.006248383, 0.74368
0.01575842, 0.740925
0.02608865, 0.7382668
0.03450864, 0.7444626
0.04251761, 0.7501748
0.05240895, 0.7466829
0.05908634, 0.7543953
0.05908634, 0.7543953
0.06668046, 0.7689736
0.0699774, 0.7637696
0.07213965, 0.7595221
0.07351075, 0.755847
0.07396265, 0.7547774
0.07418731, 0.7531847
0.073744, 0.7520732
0.07301395, 0.7519051
0.07173844, 0.7519006
0.06997679, 0.7522289
0.06886768, 0.7524084
0.06429325, 0.7532753
0.06076188, 0.7555243
0.06076188, 0.7555243
0.05620151, 0.7596356
0.05396897, 0.7618317
0.05250395, 0.758433
0.05447499, 0.7482335
-0.1263466, 0.6671346
-0.1325073, 0.6901886
-0.1391145, 0.7159333
-0.1427812, 0.7251324
-0.1438021, 0.7300604
-0.1426712, 0.7334123
-0.1413278, 0.734465
-0.1387717, 0.7351094
-0.1368854, 0.7346301
-0.1331484, 0.7336693
-0.1274345, 0.7333282
-0.1169971, 0.733508
-0.1032353, 0.7344334
-0.09416968, 0.734979
-0.07241888, 0.7370355
-0.07241888, 0.7370355
-0.01739587, 0.742
0.003309569, 0.7445727
0.01218967, 0.7454342
0.02407099, 0.7464233
0.03060562, 0.7470278
0.03543941, 0.7472833
0.03815384, 0.7472818
0.03979474, 0.7471173
0.040387, 0.7470149
0.04183594, 0.7461635
0.04263045, 0.7451768
0.04297603, 0.744328
0.04379673, 0.7412286
0.04379673, 0.7412286
0.0449148, 0.7380707
0.04547814, 0.73639
0.04597272, 0.7349638
0.0461653, 0.7342994
0.04647542, 0.7331889
0.04667878, 0.732295
0.04643003, 0.7319593
0.04528007, 0.732675
0.04357941, 0.7334321
0.04143916, 0.7343646
0.0403442, 0.7348304
0.03775049, 0.7360934
0.03363922, 0.7386685
0.03363922, 0.7386685
0.02989435, 0.7413215
0.02865056, 0.742324
0.0261739, 0.7440786
0.02357124, 0.7458612
0.02082952, 0.7477118
0.01813745, 0.7496502
0.01566921, 0.7516327
0.01348787, 0.7536663
0.01255317, 0.7546082
0.01098738, 0.7565286
0.009858895, 0.7581552
0.009425206, 0.7594939
0.00906531, 0.7611603
0.00906531, 0.7611603
0.008718674, 0.7631219
0.008518271, 0.764329
0.00842762, 0.7649387
0.008258519, 0.7660046
0.008077224, 0.7669007
0.007865964, 0.7677268
0.007667378, 0.768485
0.007547276, 0.7688363
0.006503662, 0.7729539
0.006084824, 0.7738115
0.005369322, 0.7736796
0.004794657, 0.7735252
0.004292495, 0.7742124
0.004292495, 0.7742124
0.003482625, 0.7750664
0.00314118, 0.7755747
0.002985462, 0.7756712
0.002613839, 0.7761116
0.002437128, 0.776205
0.001785285, 0.7767797
0.001565553, 0.7769812
0.0009669851, 0.7773661
0.0003324802, 0.7776991
-0.0002022468, 0.7779947
-0.0006995083, 0.7782522
-0.0009585617, 0.7783759
-0.001889417, 0.7787974
-0.001889417, 0.7787974
-0.003036655, 0.7792078
-0.003853904, 0.7794529
-0.004665093, 0.7796754
-0.005577663, 0.7798553
-0.006011554, 0.7799022
-0.006954035, 0.7800067
-0.007843967, 0.7800593
-0.008644476, 0.7800829
-0.009374569, 0.7800953
-0.01013641, 0.7801554
-0.0108262, 0.7801702
-0.01115388, 0.7801744
-0.01115388, 0.7801744
-0.01115388, 0.7801744
-0.01193068, 0.7801737
-0.01237854, 0.7802083
-0.01280388, 0.7802666
-0.01321274, 0.7803118
-0.01346918, 0.7803685
-0.01405949, 0.7804435
-0.01478785, 0.7832904
-0.01555032, 0.782207
-0.0162261, 0.7823473
-0.01682546, 0.7815173
-0.01708046, 0.7811702
-0.01750285, 0.7806633
-0.01797979, 0.7800902
-0.01797979, 0.7800902
-0.01833148, 0.7796958
-0.01852832, 0.779564
-0.01869497, 0.7795035
-0.01887028, 0.7795255
-0.01895293, 0.7795464
-0.01910837, 0.77957
-0.01918235, 0.7795865
-0.01924653, 0.7796013
-0.01930845, 0.7796026
-0.01939851, 0.779617
-0.01949374, 0.779739
-0.01959135, 0.7798506
-0.01975795, 0.780039
-0.01975795, 0.780039
-0.01990794, 0.7802729
-0.01999333, 0.7804508
-0.02005558, 0.7805986
-0.02005366, 0.7806641
-0.01998798, 0.780766
-0.01978118, 0.7808461
-0.01963981, 0.781126
-0.01953572, 0.7815146
-0.01949053, 0.7816877
-0.0193986, 0.7820127
-0.01922823, 0.7822782
-0.01905413, 0.7825128
-0.01884069, 0.7827306
-0.01884069, 0.7827306
-0.01864728, 0.7827303
-0.01851285, 0.7825735
-0.01845016, 0.782477
-0.01833324, 0.7823052
-0.01823015, 0.7821519
-0.01811307, 0.7820099
-0.01801722, 0.7818956
-0.0180548, 0.7817807
-0.01835847, 0.7816693
-0.01860101, 0.7816204
-0.01966083, 0.7815758
-0.02128336, 0.7815521
-0.024624, 0.7815698
-0.024624, 0.7815698
-0.03297975, 0.7815018
-0.04347413, 0.779879
-0.05099078, 0.7781052
-0.074629, 0.7672678
-0.1168846, 0.7457703
-0.1815975, 0.6886288
-0.2356259, 0.5919802
-0.005066073, -0.1204871
-0.008266303, -0.1217782
-0.02041187, -0.09178609
-0.02406889, -0.08454702
-0.02491793, -0.06000787
-0.02181006, -0.03356602
-0.01755398, -0.008595613
-0.01601999, 0.003423558
0.001447351, 0.03795485
0.0168005, 0.04508813
0.02081397, 0.04600615
0.0266127, 0.04935144
0.02805473, 0.05119667
0.0276922, 0.05003562
0.02772726, 0.04875071
0.02803084, 0.04853684
0.02803084, 0.04853684
0.02856803, 0.04808892
0.02864599, 0.04805634
0.02870842, 0.04788475
0.02870227, 0.04763869
0.02866891, 0.04739085
0.02866204, 0.04721121
0.02865592, 0.04715088
0.02612742, 0.05181784
0.02343566, 0.05917104
0.02191507, 0.07246781
0.02110347, 0.1052994
0.03268319, 0.1320592
0.07338443, 0.311913
0.07338443, 0.311913
0.1067498, 0.4653004
0.1250852, 0.5166504
0.131802, 0.5624236
0.1341802, 0.5739039
0.1358995, 0.5934801
0.1380437, 0.6083208
0.1385411, 0.6103953
0.1397386, 0.6128522
0.1407652, 0.6164644
0.1415403, 0.6179482
0.142116, 0.6187482
0.1424267, 0.6191831
0.1432679, 0.6205534
0.1432679, 0.6205534
0.1436788, 0.6213031
0.1438805, 0.6216307
0.144037, 0.6217508
0.1441014, 0.6217659
0.1442342, 0.6218376
0.1442669, 0.6218652
0.1443856, 0.6218636
0.1445592, 0.6218636
0.144693, 0.6218635
0.1448067, 0.621872
0.1448958, 0.6218
0.1449351, 0.6217647
0.1450113, 0.6216561
0.1450113, 0.6216561
0.1450568, 0.6215121
0.1450745, 0.6217237
0.1450812, 0.6218456
0.1450832, 0.6218989
0.1450842, 0.6219827
0.1450818, 0.6220344
0.1450431, 0.6225464
0.1450131, 0.6230342
0.1449902, 0.6235796
0.1449604, 0.6240266
0.1449607, 0.6242333
0.1449897, 0.624562
0.1450338, 0.6246539
0.1450338, 0.6246539
0.1452799, 0.6246415
0.1456608, 0.6245049
0.145781, 0.624475
0.1460022, 0.624384
0.1464032, 0.6242559
0.1468452, 0.6240903
0.1470484, 0.6240088
0.1474018, 0.6238692
0.1477176, 0.6237303
0.148, 0.6235991
0.1482577, 0.6234589
0.1484997, 0.6233186
0.1487348, 0.623188
0.1487348, 0.623188
0.1490304, 0.6230028
0.149167, 0.6228911
0.1492311, 0.6228664
0.1492819, 0.6229027
0.1491929, 0.6256139
0.1488735, 0.6281063
0.1487387, 0.6272191
0.1480654, 0.6323159
0.1478455, 0.6317365
0.147307, 0.6336088
0.146783, 0.6353207
0.1462835, 0.6344292
0.1458501, 0.6334889
0.1458501, 0.6334889
0.1453464, 0.6323678
0.1452703, 0.6317997
0.1452815, 0.6313222
0.1454196, 0.6305815
0.1456332, 0.6299967
0.1458192, 0.6294568
0.1458869, 0.6292155
0.1460538, 0.6286588
0.146186, 0.6280701
0.1463094, 0.6274326
0.1464349, 0.6267207
0.1465519, 0.6261083
0.1466479, 0.62548
0.1466479, 0.62548
0.1466202, 0.6246454
0.1464841, 0.624073
0.1457717, 0.6235606
0.145227, 0.6233159
0.1424907, 0.6225964
0.1413963, 0.6223106
0.1387172, 0.6211919
0.1346508, 0.619158
0.1220847, 0.6166716
0.1002107, 0.6100307
0.08528856, 0.6048848
0.05629925, 0.5936141
0.02073291, 0.5826843
0.02073291, 0.5826843
0.001419327, 0.6254026
-0.001557286, 0.6697987
0.002347651, 0.7157192
0.0405725, 0.7540002
0.06036207, 0.7677716
0.09870108, 0.792101
0.1328368, 0.8111104
0.1488328, 0.8260328
0.1599975, 0.8361465
0.1659969, 0.8440136
0.1673528, 0.8483223
0.1660869, 0.8515889
0.1648427, 0.8536699
0.1643694, 0.8544528
0.1624108, 0.8557703
0.1607903, 0.8562369
0.1543998, 0.8571487
0.1523038, 0.8573996
0.1482657, 0.8577926
0.1441791, 0.8580794
0.1397869, 0.8583134
0.1353832, 0.8584967
0.1301137, 0.8586233
0.1237027, 0.8585949
0.1193011, 0.8585865
0.1105257, 0.8585498
0.1014325, 0.8583713
0.09664949, 0.858247
0.08759976, 0.8579173
0.07514713, 0.8571586
0.0682252, 0.8560334
0.06507045, 0.8554107
0.05906095, 0.8544284
0.05375747, 0.853758
0.05173492, 0.8534437
0.04738739, 0.8529257
0.04355922, 0.8526245
0.0408453, 0.8523879
0.03874136, 0.8522236
0.03676321, 0.8522535
0.03420107, 0.8527358
0.03420107, 0.8527358
0.03222131, 0.8536025
0.03172308, 0.8538239
0.02976501, 0.8439523
0.06091494, 0.1821345
0.01958124, 0.1957654
-0.01423525, 0.2275152
-0.03125814, 0.2509435
-0.06381804, 0.3169882
-0.08564083, 0.3998431
-0.1017232, 0.5008063
-0.1050303, 0.5914822
-0.1037998, 0.6660312
-0.1011831, 0.7339081
-0.0931013, 0.7718356
-0.08120144, 0.8045257
-0.07447551, 0.8136477
-0.06480205, 0.8294765
-0.05929501, 0.8407314
-0.05623595, 0.8494507
-0.05541107, 0.85357
-0.05543891, 0.8560514
-0.05562507, 0.8618096
-0.05585063, 0.8672005
-0.05636707, 0.8723906
-0.05704034, 0.8764953
-0.05745158, 0.8794501
-0.05780087, 0.8817431
-0.05853929, 0.8860727
-0.05853929, 0.8860727
-0.05988178, 0.8898709
-0.06107408, 0.8918307
-0.06250266, 0.8933698
-0.06425028, 0.8955153
-0.06579123, 0.8977104
-0.06650689, 0.8986651
-0.06785938, 0.9003869
-0.06899018, 0.9017004
-0.06994461, 0.9023781
-0.07071981, 0.9021024
-0.07182249, 0.9067015
-0.07337316, 0.909354
-0.07518054, 0.9123455
-0.07622126, 0.9093837
-0.07889723, 0.9113899
-0.08138116, 0.9134704
-0.08275381, 0.9202154
-0.08596897, 0.9128904
-0.0864182, 0.910825
-0.08686513, 0.9089437
-0.08681651, 0.9068574
-0.0865097, 0.903141
-0.08604731, 0.9005606
-0.08553752, 0.8982182
-0.08524667, 0.8966504
-0.08511283, 0.89608
-0.08450546, 0.8939904
-0.08422108, 0.893409
-0.08357394, 0.8924246
-0.08280788, 0.8914516
-0.08191229, 0.890534
-0.08118028, 0.889624
-0.0805936, 0.8888384
-0.08009754, 0.8881716
-0.07991388, 0.8878868
-0.07955448, 0.8873747
-0.07925043, 0.8869795
-0.07897933, 0.8866171
-0.07879573, 0.8863527
-0.07873917, 0.8862791
-0.07857227, 0.8860325
-0.07857227, 0.8860325
-0.07858749, 0.8859605
-0.07859348, 0.8859951
-0.07862785, 0.8861157
-0.07866214, 0.8861747
-0.07874494, 0.886295
-0.07881854, 0.8864
-0.07885761, 0.8864924
-0.07881287, 0.8865764
-0.07878911, 0.8866499
-0.07868819, 0.8866474
-0.07864143, 0.8866169
-0.07852867, 0.8865944
