Valence, Arousal
0.5300729, 0.2202114
0.5300729, 0.2202114
0.5298843, 0.220266
0.5298045, 0.2203256
0.5297244, 0.2203968
0.5295574, 0.2205177
0.5294786, 0.2205788
0.5293896, 0.2206521
0.5292927, 0.2207173
0.5322121, 0.2208194
0.5321909, 0.2208674
0.5316894, 0.2209136
0.5309156, 0.220964
0.5331383, 0.221058
0.5328868, 0.2211011
0.5320808, 0.2211273
0.5316515, 0.221121
0.5331029, 0.221092
0.5351994, 0.220964
0.5344112, 0.2208802
0.5336517, 0.2207156
0.5336346, 0.2206407
0.5332966, 0.2205716
0.5315726, 0.220431
0.5312081, 0.220362
0.5309313, 0.2202958
0.5306692, 0.2202323
0.5301864, 0.2201269
0.5298477, 0.2200811
0.5295072, 0.2200635
0.5292653, 0.2200661
0.5289645, 0.2200791
0.528727, 0.220093
0.5282554, 0.2201545
0.5280432, 0.2201833
0.52784, 0.2202049
0.5274305, 0.2202823
0.5272359, 0.220323
0.5268755, 0.2203834
0.5267087, 0.2204196
0.5265503, 0.2204716
0.5264028, 0.2205523
0.5261026, 0.2206923
0.5259274, 0.2207661
0.5257527, 0.2208568
0.5254244, 0.2211093
0.5252497, 0.221231
0.525054, 0.2213648
0.5248806, 0.221476
0.5245526, 0.2217129
0.5243986, 0.2218288
0.524245, 0.2219296
0.5239538, 0.2221126
0.5238047, 0.2221976
0.523617, 0.222279
0.5233918, 0.222354
0.5230237, 0.2224924
0.5228419, 0.2225531
0.522656, 0.2226086
0.5220742, 0.222659
0.5217783, 0.2226791
0.5214972, 0.2226858
0.5209716, 0.2227121
0.5206934, 0.2227239
0.5200245, 0.2227547
0.5197354, 0.2227693
0.519439, 0.2227835
0.5191479, 0.222797
0.5188794, 0.2228189
0.5186192, 0.2228326
0.5183091, 0.2228555
0.5177801, 0.2229136
0.5175279, 0.2229357
0.5172775, 0.2229611
0.5168271, 0.2229871
0.5168548, 0.2229637
0.516852, 0.2229513
0.5168545, 0.2229384
0.5167614, 0.222908
0.5167034, 0.2228884
0.5166461, 0.2228699
