Valence, Arousal
0.6528519, 0.2913907
0.6625629, 0.3002873
0.6547367, 0.3820996
0.6720387, 0.3927132
0.6581616, 0.4141958
0.6581616, 0.4141958
0.6492984, 0.4280163
0.6511225, 0.4342964
0.6688139, 0.4336311
0.6688139, 0.4336311
0.6765451, 0.4275955
0.6793105, 0.4207951
0.6795584, 0.4015549
0.6596519, 0.3731583
0.5905793, 0.3309067
0.4814529, 0.2534953
0.3957493, 0.2167488
0.2182103, 0.1519614
0.03365039, 0.1220507
-0.1144535, 0.1203322
-0.2295048, 0.1307966
-0.326778, 0.1423346
-0.4001507, 0.1486096
-0.4466122, 0.1504616
-0.4652741, 0.1500291
-0.4944506, 0.1484136
-0.5196098, 0.1478199
-0.5400388, 0.1460684
-0.5625516, 0.1438967
-0.5785009, 0.1402654
-0.5851748, 0.1375749
-0.5938231, 0.1337717
-0.5964289, 0.1315205
-0.5855456, 0.1304565
-0.5447748, 0.1301077
-0.4502952, 0.1339931
-0.2796589, 0.1444277
-0.1005004, 0.1617739
-0.02506617, 0.1734881
0.106611, 0.1930057
0.2117979, 0.2182399
0.2870627, 0.2447304
0.3171622, 0.2589506
0.3507513, 0.2752793
0.3816138, 0.2814882
0.3921413, 0.2823719
0.3959896, 0.2817317
0.3939489, 0.2808681
0.3873741, 0.2803112
0.379758, 0.2797492
0.3638591, 0.27939
0.323374, 0.275375
0.3117205, 0.2718441
0.2861685, 0.2636855
0.2657178, 0.2548265
0.2540927, 0.2470199
0.246016, 0.2415527
0.2441432, 0.2397055
0.2416928, 0.2375287
0.2404562, 0.2355042
0.2398961, 0.234079
0.2392086, 0.2332499
0.2379926, 0.2325414
0.2340248, 0.231515
0.2157141, 0.2239424
0.1681844, 0.2012926
0.07006927, 0.1582521
0.009199415, 0.137051
-0.1618276, 0.09812657
-0.217908, 0.092351
-0.306861, 0.09129196
0.1853084, 0.1082186
0.1695905, 0.1044705
0.1625273, 0.09209604
0.1370371, 0.07966983
0.08625095, 0.07191014
-0.007576365, 0.06900579
-0.0559074, 0.06901682
-0.1573566, 0.06814595
-0.2637288, 0.0645707
-0.357825, 0.06248158
-0.4424603, 0.06258475
-0.4822834, 0.06291401
-0.5639613, 0.06346401
-0.645032, 0.06407166
-0.7084203, 0.06620703
-0.7522456, 0.06933019
-0.7911021, 0.07451934
-0.8148062, 0.08085043
-0.8312786, 0.08461089
-0.836432, 0.08615328
-0.8441162, 0.08783444
-0.8474105, 0.0884429
-0.8474544, 0.08848947
-0.8473718, 0.08849366
-0.8473468, 0.08847962
-0.8471553, 0.08836041
-0.8466116, 0.08824033
-0.8459257, 0.08815361
-0.8456702, 0.08812051
-0.8449364, 0.08809782
-0.844196, 0.08837828
-0.84369, 0.08974422
-0.8443516, 0.09165816
-0.845239, 0.09250385
-0.1596118, 0.1460005
-0.1603184, 0.1415716
-0.1593323, 0.1392982
-0.1602375, 0.1380393
-0.1612212, 0.1373969
-0.1663131, 0.1368637
-0.2035275, 0.1328991
-0.229418, 0.1309087
-0.3096417, 0.1225362
-0.4148924, 0.1078005
-0.5179513, 0.08502838
-0.6194631, 0.07117753
-0.6678939, 0.06659222
-0.7490761, 0.06182837
-0.8167356, 0.06075133
-0.8667471, 0.06063034
-0.8971633, 0.06108534
-0.9134715, 0.061719
-0.9312389, 0.06314135
-0.9419276, 0.06355988
-0.9462848, 0.06366571
-0.9561936, 0.06381788
-0.9630653, 0.0639992
-0.9667616, 0.06411263
-0.96861, 0.06409251
-0.9694861, 0.0640647
-0.9710146, 0.06377894
-0.9607389, 0.06306521
-0.9615, 0.06266227
-0.9647214, 0.06127273
-0.9646632, 0.0608975
-0.9664682, 0.06023934
-0.9682541, 0.05970018
-0.9695463, 0.05926493
-0.9710542, 0.05893447
-0.9718223, 0.05866918
-0.97228, 0.05855204
-0.9730965, 0.05832374
-0.9732889, 0.05827006
-0.9736105, 0.05828313
-0.9738553, 0.0583271
-0.9740881, 0.05851248
-0.974179, 0.05874385
-0.9742306, 0.05911412
-0.9739765, 0.05937373
-0.9734959, 0.05965606
-0.9732664, 0.05981531
-0.9724193, 0.06018403
-0.9703273, 0.06054885
-0.9657085, 0.06090685
-0.998082, 0.06147962
-0.9985009, 0.05374013
-0.9985489, 0.05353849
-0.9987577, 0.05040774
-0.9981605, 0.0471917
-0.9964246, 0.04618138
-0.9652264, 0.04614054
-0.8766331, 0.06573237
-0.6898105, 0.1132082
-0.4570359, 0.173058
-0.342603, 0.191382
-0.1923672, 0.2315336
-0.09075848, 0.2627215
-0.03821398, 0.2916315
0.02985098, 0.3214181
0.08496325, 0.365485
0.1163411, 0.4003195
0.1275239, 0.4138083
0.1437735, 0.4344997
0.1535101, 0.4474018
0.1574729, 0.4539055
0.1584052, 0.4552378
0.158537, 0.4543625
0.1593969, 0.4540477
0.1593959, 0.453893
0.1589231, 0.4537554
0.1588754, 0.4537143
0.1585928, 0.4536323
0.1583571, 0.4535369
0.1581461, 0.4534458
0.157945, 0.4533789
0.1572892, 0.4531198
0.1560648, 0.4524227
0.1530679, 0.4505608
0.1465754, 0.447352
0.1358636, 0.4418756
0.1193968, 0.4304636
0.08361465, 0.4062613
0.02941897, 0.3701924
0.0006684846, 0.3508685
-0.04928227, 0.3151304
-0.0854446, 0.2832457
-0.1151158, 0.2620585
-0.1396165, 0.2461003
-0.1513996, 0.2388417
-0.1737195, 0.227191
-0.1966777, 0.2167883
-0.2172253, 0.2100127
-0.2349359, 0.2058662
-0.2440473, 0.2037839
-0.2504457, 0.2013165
-0.2530691, 0.2000354
-0.2564711, 0.1983677
-0.2587421, 0.1973897
-0.2602074, 0.1969561
-0.2612611, 0.1967072
-0.262264, 0.1965532
-0.2626837, 0.1964978
-0.2632951, 0.1963931
-0.2635519, 0.1963259
-0.2639449, 0.1961538
-0.2643386, 0.1959989
-0.2647288, 0.1959026
-0.2649008, 0.1958572
-0.2661663, 0.1957648
-0.2674106, 0.1957761
-0.2753302, 0.1958101
-0.284, 0.1958858
-0.2954846, 0.19597
-0.3030612, 0.1959976
-0.3380525, 0.1931011
-0.3539216, 0.1904656
-0.3885398, 0.1836046
-0.4177825, 0.1769695
-0.4390664, 0.1710474
-0.4545779, 0.1638223
-0.4730167, 0.1577233
-0.4966142, 0.1504398
-0.5233586, 0.1427043
-0.5377802, 0.1396837
-0.5624707, 0.135998
-0.5874625, 0.133091
-0.6144385, 0.1310599
-0.6444232, 0.1288766
-0.6608528, 0.1268069
-0.6958542, 0.1232676
-0.7376477, 0.1202035
-0.7690563, 0.1180727
-0.7978119, 0.117225
-0.8184696, 0.1156869
-0.8266513, 0.1151596
-0.8402408, 0.1147984
-0.8507316, 0.1145102
-0.8530633, 0.1144446
-0.8557255, 0.1144057
-0.857267, 0.1144654
-0.8581679, 0.1146529
-0.8587096, 0.1148335
-0.8589095, 0.1148714
-0.859236, 0.1149134
-0.8594591, 0.1149331
-0.8596641, 0.1149434
-0.8599264, 0.1149232
-0.860209, 0.1149037
-0.8609355, 0.1148758
-0.861747, 0.1148563
-0.8633305, 0.1148031
-0.8648578, 0.1147127
-0.866096, 0.1146107
-0.8673264, 0.1145052
-0.868587, 0.1143344
-0.8698462, 0.1141987
-0.8709156, 0.1140683
-0.8714046, 0.1139692
-0.8723406, 0.1137885
-0.8731676, 0.1135662
-0.8740036, 0.1133015
-0.8749567, 0.1129305
-0.8758543, 0.1125777
-0.8767206, 0.1122767
-0.8771455, 0.1121318
-0.8779268, 0.1118529
-0.8786251, 0.1115707
-0.8792658, 0.1113161
-0.8798527, 0.1110552
-0.8801568, 0.1109365
-0.8807302, 0.1107064
-0.8810468, 0.1105966
-0.8816282, 0.1103525
-0.882146, 0.1101232
-0.8826283, 0.1098663
-0.8830774, 0.1096113
-0.8835005, 0.1093303
-0.8836702, 0.1091925
-0.8839912, 0.1088967
-0.8842591, 0.1085074
-0.884527, 0.1080693
-0.8848103, 0.1075537
-0.8852693, 0.1069292
