Valence, Arousal
-0.6559038, -0.7464217
-0.6309209, -0.7430189
-0.6373851, -0.7450942
-0.6231903, -0.7520526
-0.6209635, -0.7588452
-0.6299697, -0.7597757
-0.6204391, -0.764206
-0.6261907, -0.7645482
-0.6226159, -0.767679
-0.6228572, -0.7689279
-0.6097692, -0.7706698
-0.6126422, -0.7720379
-0.6101605, -0.7741389
-0.5937641, -0.7774149
-0.585995, -0.7791446
-0.572795, -0.7838897
-0.5638627, -0.7866919
-0.5682881, -0.7885931
-0.5664242, -0.7901322
-0.5620531, -0.7927439
-0.5608838, -0.7935907
-0.5631645, -0.7943634
-0.5600656, -0.7965063
-0.558819, -0.7972512
-0.559846, -0.7979271
-0.5570253, -0.7984071
-0.5582486, -0.7984473
-0.558785, -0.798305
-0.5591341, -0.797236
-0.5589899, -0.7873451
-0.5587271, -0.7781285
-0.5573869, -0.7677848
-0.2963958, -0.6895352
-0.2727292, -0.7184536
-0.2655214, -0.7307387
-0.2350395, -0.7302514
-0.2253307, -0.7301493
-0.2034344, -0.7260333
-0.1824361, -0.7217016
-0.1424417, -0.7141944
-0.1245103, -0.7114133
-0.09819011, -0.7026764
-0.08717424, -0.6957716
-0.07539065, -0.6852648
-0.06081907, -0.6655496
-0.05505444, -0.6587132
-0.04968658, -0.6536675
-0.04547759, -0.649796
-0.04265746, -0.6463007
-0.03793372, -0.64248
-0.03661294, -0.6397277
-0.03540771, -0.637428
-0.03449297, -0.6342258
-0.03430856, -0.6320974
-0.03415962, -0.6300148
-0.0334226, -0.6257849
-0.03287075, -0.623167
-0.03245699, -0.6205049
-0.03218801, -0.6176659
-0.03174645, -0.6128079
-0.0315685, -0.6110038
-0.03152856, -0.6093213
-0.03211948, -0.6067047
-0.03284855, -0.6056242
-0.03382832, -0.6047701
-0.0358111, -0.6033805
-0.03684719, -0.6027905
-0.03850573, -0.6020059
-0.09044961, -0.7269831
-0.1339182, -0.7016654
-0.1727737, -0.6681722
-0.2568723, -0.5768113
-0.3164027, -0.5261326
-0.3768875, -0.4721016
-0.5133767, -0.3607043
-0.5840087, -0.3082192
-0.6336648, -0.2669882
-0.7011684, -0.2264867
-0.8163635, -0.1654939
-0.8644045, -0.1400815
-0.9333344, -0.1074561
-0.9533625, -0.09593489
-0.9566533, -0.08948173
-0.9771783, -0.07933389
-0.9828901, -0.07459809
-0.9866822, -0.07251487
-0.9894224, -0.07058331
-0.9856366, -0.05552738
-0.9552465, -0.04553449
-0.9157686, -0.03560763
-0.8686812, -0.02679256
-0.7540585, -0.005995535
-0.702866, 0.001870591
-0.6484612, 0.01181025
-0.596432, 0.02319957
-0.4761189, 0.0490801
-0.4101575, 0.0661587
-0.2472696, 0.1344616
-0.1591891, 0.1607505
-0.08519053, 0.1852839
0.02531247, 0.2197328
0.06032902, 0.23168
0.0918675, 0.2414012
0.1179952, 0.2485951
0.1419397, 0.2632763
0.1489143, 0.2676496
0.1514069, 0.271721
0.152169, 0.2575752
0.1360416, 0.2257826
0.09917844, 0.1854139
0.04684729, 0.1337635
-0.05490579, 0.02849484
-0.1009955, -0.005577662
-0.1981381, -0.04448483
-0.2609501, -0.05771101
-0.3214329, -0.06074743
-0.3894297, -0.05859461
-0.5192471, -0.05012115
-0.5716642, -0.04477895
-0.6350793, -0.04053545
-0.7436461, -0.03537385
-0.7835962, -0.03407045
-0.8233147, -0.03324905
-0.870668, -0.03265479
-0.9359613, -0.03081247
-0.9560318, -0.03014529
-0.969693, -0.02905478
-0.9728142, -0.02781409
-0.9212749, -0.02558302
0.4764728, 0.2088151
0.4787986, 0.2105709
0.480381, 0.2110201
0.4796384, 0.2121082
0.4699817, 0.2125542
0.4573667, 0.2129531
0.4425351, 0.2133144
0.3996895, 0.2147989
0.3652922, 0.2164079
0.2829236, 0.2254212
0.2293383, 0.2312085
0.172138, 0.236261
0.05110662, 0.243667
0.005659433, 0.2463242
-0.04688001, 0.2474079
-0.1385313, 0.2506186
-0.1865362, 0.2520283
-0.2307761, 0.2529671
-0.3011691, 0.2541985
-0.3282646, 0.2550516
-0.354481, 0.2577145
-0.3901666, 0.2638899
-0.4125001, 0.2667554
-0.4266152, 0.2693786
-0.4388293, 0.2719978
-0.4410784, 0.2724932
-0.4444841, 0.2728407
-0.4474938, 0.2729261
-0.4502928, 0.2730289
