Valence, Arousal
-0.9369799, -0.3748074
-0.9324347, -0.3826084
-0.9288486, -0.3874069
-0.9263391, -0.3902703
-0.9251693, -0.3917696
-0.9232044, -0.3943907
-0.9219899, -0.3957505
-0.9210929, -0.3967069
-0.9203506, -0.3973966
-0.9203506, -0.3973966
-0.9200339, -0.397308
-0.9190223, -0.3964415
-0.9183444, -0.3936543
-0.9177886, -0.3876729
-0.9166426, -0.3799768
-0.9157754, -0.3754801
-0.9110235, -0.363614
-0.9037847, -0.3463503
-0.8946254, -0.3208196
-0.8833546, -0.2909993
-0.86966, -0.2633576
-0.8568076, -0.2385882
-0.8470269, -0.2193656
-0.8407118, -0.2070346
-0.8386741, -0.2031758
-0.8356588, -0.1981238
-0.8334179, -0.1954977
-0.832104, -0.19322
-0.8316934, -0.1921386
-0.8311038, -0.1884822
-0.8307053, -0.1843733
-0.8305492, -0.1804636
-0.831091, -0.1764959
-0.8315885, -0.1734759
-0.8321787, -0.1701875
-0.832785, -0.1672334
-0.8333509, -0.165076
-0.8333509, -0.165076
-0.8341672, -0.1624836
-0.834669, -0.1609518
-0.8351161, -0.1595966
-0.8353151, -0.1589623
-0.8357865, -0.1578408
-0.8362498, -0.1568914
-0.8366934, -0.1560281
-0.8371957, -0.1550659
-0.838241, -0.1540947
-0.8398539, -0.1530556
-0.8414698, -0.1519236
-0.8424647, -0.1513781
-0.8463724, -0.1499626
-0.8478411, -0.1495086
-0.8516525, -0.148654
-0.8562723, -0.1481786
-0.8618146, -0.1480179
-0.8647451, -0.1479636
-0.8710774, -0.1480803
-0.8776465, -0.1482969
-0.8832576, -0.1489119
-0.8893699, -0.1493502
-0.8924931, -0.1495968
-0.90293, -0.1511901
-0.9099218, -0.1523396
-0.9136264, -0.1529928
-0.926623, -0.1554462
-0.9321466, -0.1568971
-0.9422924, -0.1605309
-0.9510033, -0.1650985
-0.9547687, -0.1676731
-0.9613481, -0.1712404
-0.9662904, -0.1745879
-0.9699049, -0.1774155
-0.9725309, -0.1805295
-0.974375, -0.1843728
-0.9627695, -0.1870178
-0.9655613, -0.1879749
-0.9494747, -0.1897269
-0.9789708, -0.1579626
-0.9784698, -0.1729771
-0.9783956, -0.1789338
-0.9779947, -0.1936366
-0.9779948, -0.1962636
-0.9782026, -0.1989354
-0.978419, -0.2004431
-0.9787193, -0.2012143
-0.9711032, -0.1996566
-0.960637, -0.1975632
-0.9492154, -0.1927052
-0.9149943, -0.1733534
-0.859872, -0.1413917
-0.7973299, -0.106325
-0.7379707, -0.07291903
-0.688048, -0.04358866
-0.6419259, -0.01344355
-0.6210998, 0.003383216
-0.5836702, 0.03565004
-0.5535442, 0.05679175
-0.5308291, 0.07115128
-0.5165974, 0.08146325
-0.5046448, 0.08969293
-0.4941092, 0.09590567
-0.4897554, 0.09783635
-0.4836673, 0.1003086
-0.4799309, 0.102217
-0.4775672, 0.1035758
-0.4764829, 0.1041955
-0.4758236, 0.1045916
-0.4755668, 0.1048837
-0.47505, 0.1057467
-0.4748598, 0.1063925
-0.4744969, 0.1090633
-0.4739964, 0.1140934
-0.4733708, 0.1221433
-0.4724258, 0.1325579
-0.4717577, 0.1387003
-0.4681173, 0.161859
-0.4666159, 0.1693686
-0.4640223, 0.1835363
-0.4618633, 0.1958217
-0.4605567, 0.2055322
-0.4596592, 0.21288
-0.4590355, 0.2179471
-0.4588137, 0.2200683
-0.4588392, 0.224295
-0.4606593, 0.2283839
-0.4629009, 0.230461
-0.4717903, 0.2361066
-0.479731, 0.2406137
-0.4890437, 0.2457803
-0.4940112, 0.2482487
-0.5064535, 0.2525108
-0.5222403, 0.2571639
-0.5369492, 0.2613377
-0.542984, 0.2631575
-0.5529743, 0.2665444
-0.5600296, 0.2707619
-0.5645459, 0.2765054
-0.5670516, 0.2864933
-0.5667511, 0.3028602
-0.5656734, 0.3128144
-0.5608842, 0.3368487
-0.5401901, 0.378491
-0.5297715, 0.3941574
-0.5089908, 0.4272394
-0.4886054, 0.458193
-0.4718366, 0.4871659
-0.4579614, 0.515589
-0.4530292, 0.5301293
-0.4438126, 0.5571354
-0.4349627, 0.5778428
-0.4283789, 0.5945127
-0.4223927, 0.6077001
-0.4197642, 0.613064
-0.4159881, 0.6196905
-0.4140915, 0.623683
-0.413757, 0.6261798
-0.413757, 0.6261798
-0.4177308, 0.6264551
-0.4256111, 0.6231723
-0.4338848, 0.6162117
-0.4419142, 0.6052597
-0.4458909, 0.5981923
-0.4547897, 0.5789978
-0.4655317, 0.5398779
-0.4818728, 0.4678157
-0.5006667, 0.367797
-0.5265845, 0.2535483
-0.5413898, 0.1926218
-0.567802, 0.06289898
-0.6035153, -0.1070738
-0.61378, -0.1564396
-0.6321309, -0.2469981
-0.6447155, -0.3224058
-0.6502901, -0.3830963
-0.6515492, -0.4037364
-0.6516849, -0.4417398
-0.6509708, -0.4659926
-0.6485243, -0.4828135
-0.6445854, -0.4953415
-0.6392251, -0.5039399
-0.6366718, -0.5052525
-0.6333238, -0.5084496
-0.6311579, -0.5108585
-0.6296214, -0.5119486
-0.6293045, -0.5119753
-0.629043, -0.511981
-0.6285426, -0.5095865
-0.6269984, -0.4707995
-0.625515, -0.444721
-0.6206466, -0.2806577
-0.6189911, -0.2074608
-0.6146715, -0.05783778
-0.6082159, 0.09456351
-0.6052691, 0.1538652
-0.5986715, 0.259414
-0.593127, 0.3524918
-0.5885652, 0.4344182
-0.5807077, 0.5197779
-0.5807077, 0.5197779
-0.5723175, 0.5857043
-0.5669393, 0.6146955
-0.5634534, 0.6269848
-0.5509035, 0.6560801
-0.5303875, 0.685044
-0.5080407, 0.7118882
-0.4894793, 0.7409796
-0.475743, 0.769471
-0.4686426, 0.7825032
-0.4529323, 0.8057885
-0.4416622, 0.832215
-0.4233858, 0.8553185
-0.4048034, 0.8770894
-0.4048034, 0.8770894
-0.3705355, 0.9059736
-0.3532763, 0.9198559
-0.3474944, 0.9243397
-0.3387274, 0.9305215
-0.3327523, 0.9346911
-0.3293481, 0.9377983
-0.3275469, 0.9396401
-0.3255518, 0.9412012
-0.3248878, 0.9416053
-0.324012, 0.9419993
-0.3232998, 0.9394898
-0.3227752, 0.9274172
-0.3183268, 0.8875763
-0.3183268, 0.8875763
-0.2607988, 0.8108401
-0.1822418, 0.7637822
-0.1351505, 0.7450059
-0.02274242, 0.7066348
0.1104143, 0.6671341
0.2364807, 0.6173739
0.289707, 0.5961359
0.4385851, 0.5281532
0.5183966, 0.4980231
0.5474169, 0.4860311
0.5821542, 0.4659615
0.5953158, 0.4551701
0.6078266, 0.443128
0.6078266, 0.443128
