Valence, Arousal
-0.05091006, 0
-0.07696343, 0
-0.09961922, 0
-0.1269122, 0
-0.1331745, 0
-0.1356989, 0
-0.1296965, 0
-0.1265131, 0
-0.1209932, 0
-0.09764634, 0
-0.07481714, 0
-0.046911, 0
0.02171705, 0
0.05021228, 0
0.07470848, 0
0.1141756, 0
0.1265861, 0
0.14904, 0
0.1589081, -0.4107791
0.1682603, -0.4091827
0.1806971, -0.3963594
0.1837936, -0.3588662
0.1856231, -0.2969215
0.1849923, -0.2494167
0.1841774, -0.2047749
0.1829261, -0.1692725
0.1824878, -0.1577942
0.1821549, -0.1546004
0.1818933, -0.1564391
0.1820792, -0.1626281
0.1825141, -0.1658514
0.1833675, -0.1719624
0.1833675, -0.1733017
0.1841455, -0.1787665
0.1843478, -0.1801174
0.1846024, -0.1835354
0.1846857, -0.1849904
0.1847276, -0.1858162
0.1845938, -0.1861428
0.1844658, -0.1863508
0.1842385, -0.1867075
0.1839339, -0.1870247
0.1831572, -0.1866778
0.1827037, -0.1854559
0.1823075, -0.1831982
0.1819434, -0.1815811
0.1812779, -0.1774549
0.1809881, -0.1732193
0.1807427, -0.1685549
0.1803087, -0.1641043
0.1801176, -0.1587915
0.1797918, -0.1529029
0.1796473, -0.1501627
0.1795103, -0.1451195
0.1793841, -0.1414889
0.1791321, -0.1392094
0.1790422, -0.1377979
0.1789371, -0.136935
0.1785548, -0.1362801
0.1783174, -0.1357539
0.1780612, -0.1336479
0.1778174, -0.1263071
0.1772723, -0.1137106
0.1768933, -0.08101586
0.1763829, 0
0.1739171, 0
0.1730508, 0
0.17228, 0
0.1719301, 0
0.1709615, 0
0.1490891, 0
0.1046674, 0
0, 0.06034452
0, 0.07146388
0, 0.07661038
0, 0.07828195
0, 0.08411171
0, 0.08554717
0, 0.08762584
0, 0.08950655
0, 0.09071613
0, 0.09097689
-0.3878902, 0.0908617
-0.4157356, 0.09049927
-0.4163215, 0.08719558
-0.4230323, 0.08118153
-0.4311906, 0.05375072
-0.4411196, 0.04160157
-0.4593723, 0.02975482
-0.4652805, 0.00316548
-0.4684539, -0.01376453
-0.4644617, -0.04976218
-0.4587419, -0.0782915
-0.4331634, -0.1025981
-0.3612687, -0.1288891
-0.322858, -0.1546263
-0.2863205, -0.1674589
-0.2569708, -0.1931808
-0.2292344, -0.2146655
-0.1622623, -0.2360347
-0.1239924, -0.2563008
-0.0741726, -0.2763631
0.00414905, -0.2947526
0.02906209, -0.3092819
0.06308039, -0.3159809
0.1143552, -0.3283788
0.1376777, -0.3390967
0.1643154, -0.3490751
0.2202498, -0.3630357
0.2467528, -0.3688051
0.2940049, -0.3863119
0.3106874, -0.3909208
0.3262874, -0.3988077
0.3394973, -0.4057113
0.3556581, -0.4104081
0.3751541, -0.4132413
0.3825209, -0.4153042
0.3914888, -0.4160151
0.393533, -0.4171612
0.3941095, -0.417946
0.3941633, -0.4183867
0.3951827, -0.4185821
0.3953516, -0.41868
0.3953375, -0.4188445
0.3952244, -0.4188191
0.3950426, -0.4186796
0.3950171, -0.4183089
0.3950658, -0.4178984
0.3951184, -0.4174582
0.3951223, -0.4172522
0.3952175, -0.4165032
0.3956368, -0.4161302
0.3959206, -0.4155163
0.3961473, -0.4147782
0.3964745, -0.414124
0.3965836, -0.4135416
0.3966771, -0.4132627
0.3967845, -0.4126954
0.3970143, -0.4121695
0.397167, -0.4119444
0.397518, -0.4116434
0.3994281, -0.411466
0.4017686, -0.4114084
0.4051529, -0.4119108
0.4089434, -0.4122231
0.419705, -0.4130726
0.428264, -0.4138837
0.4399672, -0.4147659
0.4734533, -0.4156461
0.4942794, -0.4163929
0.5159937, -0.4167644
0.558207, -0.417459
0.5772543, -0.4180807
0.5943356, -0.4183992
0.6186039, -0.4184041
0.6186039, -0.4184251
0.6338012, -0.4160529
0.6387951, -0.4098923
0.6448752, -0.4053575
0.6475268, 0
0.6499979, 0
0.6543966, 0
0, 0.2443922
0, 0.2642766
0, 0.272187
0, 0.27448
-0.4669942, 0.2738831
-0.4626296, 0.2701438
-0.4485577, 0.2690793
-0.4131122, 0.2665693
-0.3907427, 0.2594996
-0.3453861, 0.240081
-0.2871254, 0.2160266
-0.1585888, 0.188999
-0.09819201, 0.1707971
-0.04229197, 0.1600366
0.0486195, 0.1358118
0.09677295, 0.1182388
0.1429533, 0.09767916
0.2283017, 0.07410087
0.2610311, 0.06414404
0.3012436, 0.03874484
0.3307936, 0.03082938
0.392608, 0.01523829
0.4216, -0.007020579
0.4484962, -0.02851265
0.4688206, -0.04195748
0.5240572, -0.07867277
0.5479295, -0.09349113
0.5644729, -0.09859421
0.5906022, -0.1041305
0.600598, -0.1110129
0.6192369, -0.1244858
0.629137, -0.1368277
0.6418142, -0.1523497
0.6557702, -0.1578019
0.6864055, -0.1656656
0.6985743, -0.1721509
0.7053742, -0.1790852
0.7117302, -0.185719
0.7235405, -0.1986906
0.7304271, -0.2089291
0.7447714, -0.2166812
0.7495168, -0.2205126
0.7531655, -0.22759
0.7591854, -0.2349193
0.7642752, -0.2423122
0.7746638, -0.2491005
0.7808237, -0.2551333
0.7856887, -0.2576946
0.7940903, -0.2618622
0.797371, -0.2649219
0.7995573, -0.2674011
0.8020889, -0.2693416
0.806391, -0.270769
0.8079358, -0.2718158
0.8093222, -0.2722417
0.8114619, -0.2728894
0.8122587, -0.2734089
0.8129446, -0.2738681
0.8135154, -0.2742772
0.8144979, -0.2744525
0.8148991, -0.2746116
0.8152396, -0.274916
0.815842, -0.2752048
0.8161079, -0.275532
0.8163852, -0.2758335
0.8168865, -0.2761683
0.8171046, -0.276672
0.8173199, -0.2770055
0.8176917, -0.2777716
0.8179778, -0.2792092
0.8181961, -0.2814973
0.8183913, -0.2844104
0.8185991, -0.2880296
0.8190241, -0.2945049
0.819231, -0.3038138
0.8194209, -0.308994
0.8197467, -0.3201549
0.8199047, -0.3316376
0.8200817, -0.3405682
0.820504, -0.3439535
0.8207312, -0.3541346
0.8209248, -0.3575054
0.8213539, -0.3682548
0.8215387, -0.3723093
0.8217077, -0.387694
0.8218759, -0.3923432
0.8218759, -0.3968932
0.8222369, -0.4061966
0.8223951, -0.4118512
0.8225459, -0.4355685
0.8227441, -0.4446252
0.822929, -0.4640678
0.8235039, -0.4794169
0.8238459, -0.4939404
0.8245429, -0.5001641
0.8248637, -0.5135782
0.8251569, -0.5166882
0.8253056, -0.5203243
0.8256217, -0.5226997
0.8257895, -0.5246171
0.8259737, -0.5273926
0.8262831, -0.5289445
0.8270968, -0.5336604
0.8276861, -0.5353984
0.8283185, -0.5379197
0.8296994, -0.5400457
0.8304844, -0.5417472
0.8312638, -0.5426387
0.8320678, -0.5390267
0.8328194, -0.5372199
0.8343713, -0.5376634
0.8352792, -0.5338701
0.8363081, -0.5318985
0.8385643, -0.533403
0.8396668, -0.5402378
0.8407086, -0.5443889
0.8426265, -0.5473319
0.8426265, -0.5526897
0.8435199, -0.5620513
0.8450642, -0.5695573
0.8457204, -0.5777967
0.8462655, -0.5880252
0.8469665, -0.5964242
0.8472218, -0.5995601
0.8476512, -0.6045818
0.8478506, -0.6044458
0.8480208, -0.6044852
0.8482018, -0.6049781
0.8485416, -0.607107
0.8486423, -0.6086623
0.8487384, -0.6099333
0.8489975, -0.6106827
0.8491669, -0.611903
0.8494058, -0.6134223
0.8497787, -0.61446
0.8499422, -0.6156811
0.8502095, -0.6170514
0.8503129, -0.618058
0.8504108, -0.6184983
0.850499, -0.6188625
0.8505754, -0.6189927
0.8506068, -0.6190274
0.8506097, -0.6192242
0.8506231, -0.6193972
0.8506216, -0.6196048
0.8506331, -0.6201926
0.850382, -0.6217796
0.8501866, -0.6234119
0.8500267, -0.6240699
0.8497524, -0.6255366
0.8496329, 0
0.8495208, 0
0.8495094, 0
0.8494437, 0
0.8492896, 0
0.8492896, 0
0.8491116, 0
0.8490118, 0
0.8489186, 0
0.8487405, 0
0.8486528, 0
0.8486528, 0
0.8484856, 0
0.8484132, 0
0.8483558, 0
0.8482392, 0
0.8482281, 0
0.8482171, 0
0.8484262, 0
0.8484262, 0
0.8487386, 0
0.8488621, 0
0, 0.2031312
0, 0.1806415
0, 0.1515011
0, 0.1025637
0, 0.06891672
0, -0.01628388
0, -0.1105304
0, -0.1874133
0, -0.2483227
0, -0.287396
0, -0.3313663
0, -0.3484021
0, -0.3999479
0, -0.4274333
0, -0.4647469
0, -0.4925741
0, -0.5143482
0, -0.5431584
0, -0.5646991
0, -0.574346
-0.3939329, -0.5933614
-0.3824939, -0.6115792
-0.3723535, -0.6269527
-0.3328768, -0.6424314
-0.2269288, -0.6546576
-0.1533322, -0.6608537
-0.007594355, -0.6766613
0.06958529, -0.6815458
0.1448332, -0.6925998
0.2104555, -0.6985061
0.3320251, -0.7015095
0.3875188, -0.7041283
0.4391983, -0.7090555
0.487849, -0.7109665
0.5609854, -0.7137069
0.5922927, -0.7159149
0.6190388, -0.7166735
0.646987, -0.7199125
0.6683516, -0.7211885
0.7153389, -0.7256444
0.728012, -0.7269848
0.7458927, -0.7290839
0.7549117, -0.7314275
0.760825, -0.7348043
0.7672439, -0.739232
0.7811055, -0.7435142
0.787201, -0.7461686
0.7910286, -0.7513827
0.7968885, -0.7560609
0.7968885, -0.7603405
0.7996271, -0.7630012
0.8012567, -0.765649
0.8023252, -0.7665601
0.8054713, -0.7682048
0.8076364, -0.7694663
0.8094806, -0.7706277
0.8113489, -0.7714572
