Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683142762378018,2958039,-1,-1,-1,-1,OK
1683142762386055,2958048,-1,-1,-1,-1,OK
1683142762393565,2958056,-1,-1,-1,-1,OK
1683142762402267,2958064,-1,-1,-1,-1,OK
1683142762410777,2958073,-1,-1,-1,-1,OK
1683142762419282,2958081,-1,-1,-1,-1,OK
1683142762426282,2958089,-1,-1,-1,-1,OK
1683142762435792,2958098,-1,-1,-1,-1,OK
1683142762444302,2958106,-1,-1,-1,-1,OK
1683142762452814,2958114,-1,-1,-1,-1,OK
1683142762460840,2958123,-1,-1,-1,-1,OK
1683142762469348,2958131,-1,-1,-1,-1,OK
1683142762476352,2958139,-1,-1,-1,-1,OK
1683142762485866,2958148,-1,-1,-1,-1,OK
1683142762494371,2958156,-1,-1,-1,-1,OK
1683142762501920,2958164,-1,-1,-1,-1,OK
1683142762510951,2958173,-1,-1,-1,-1,OK
1683142762519460,2958181,-1,-1,-1,-1,OK
1683142762526464,2958189,-1,-1,-1,-1,OK
1683142762535977,2958198,-1,-1,-1,-1,OK
1683142762544077,2958206,-1,-1,-1,-1,OK
1683142762552585,2958214,-1,-1,-1,-1,OK
1683142762561102,2958223,-1,-1,-1,-1,OK
1683142762568611,2958231,-1,-1,-1,-1,OK
1683142762577615,2958239,-1,-1,-1,-1,OK
1683142762586130,2958248,-1,-1,-1,-1,OK
1683142762593642,2958256,-1,-1,-1,-1,OK
1683142762602206,2958264,-1,-1,-1,-1,OK
1683142762610716,2958273,-1,-1,-1,-1,OK
1683142762619223,2958281,-1,-1,-1,-1,OK
1683142762627729,2958289,-1,-1,-1,-1,OK
1683142762635737,2958298,-1,-1,-1,-1,OK
1683142762644253,2958306,-1,-1,-1,-1,OK
1683142762651763,2958314,-1,-1,-1,-1,OK
1683142762660278,2958322,-1,-1,-1,-1,OK
1683142762668786,2958331,-1,-1,-1,-1,OK
1683142762677789,2958339,-1,-1,-1,-1,OK
1683142762686119,2958347,-1,-1,-1,-1,OK
1683142762693625,2958356,-1,-1,-1,-1,OK
1683142762702632,2958364,-1,-1,-1,-1,OK
1683142762710146,2958372,-1,-1,-1,-1,OK
1683142762718652,2958381,-1,-1,-1,-1,OK
1683142762727651,2958389,-1,-1,-1,-1,OK
1683142762735161,2958397,-1,-1,-1,-1,OK
1683142762743671,2958406,-1,-1,-1,-1,OK
1683142762752710,2958414,-1,-1,-1,-1,OK
1683142762760807,2958422,-1,-1,-1,-1,OK
1683142762769021,2958431,-1,-1,-1,-1,OK
1683142762777024,2958439,-1,-1,-1,-1,OK
1683142762786529,2958447,-1,-1,-1,-1,OK
1683142762794043,2958456,-1,-1,-1,-1,OK
1683142762802595,2958464,-1,-1,-1,-1,OK
1683142762811104,2958472,-1,-1,-1,-1,OK
1683142762818610,2958481,-1,-1,-1,-1,OK
1683142762827613,2958489,-1,-1,-1,-1,OK
1683142762836125,2958497,-1,-1,-1,-1,OK
1683142762843640,2958506,-1,-1,-1,-1,OK
1683142762852151,2958514,-1,-1,-1,-1,OK
1683142762860658,2958522,-1,-1,-1,-1,OK
1683142762869170,2958531,-1,-1,-1,-1,OK
1683142762877678,2958539,-1,-1,-1,-1,OK
1683142762885682,2958547,-1,-1,-1,-1,OK
1683142762893873,2958556,-1,-1,-1,-1,OK
1683142762902560,2958564,-1,-1,-1,-1,OK
1683142762910600,2958572,-1,-1,-1,-1,OK
1683142762918737,2958581,-1,-1,-1,-1,OK
1683142762927735,2958589,-1,-1,-1,-1,OK
1683142762935244,2958597,-1,-1,-1,-1,OK
1683142762943756,2958606,-1,-1,-1,-1,OK
1683142762951955,2958614,-1,-1,-1,-1,OK
1683142762960464,2958622,-1,-1,-1,-1,OK
1683142762968972,2958631,-1,-1,-1,-1,OK
1683142762976972,2958639,-1,-1,-1,-1,OK
1683142762986046,2958647,-1,-1,-1,-1,OK
1683142762993555,2958656,-1,-1,-1,-1,OK
1683142763002560,2958664,-1,-1,-1,-1,OK
1683142763011070,2958672,-1,-1,-1,-1,OK
1683142763018576,2958681,-1,-1,-1,-1,OK
1683142763027577,2958689,-1,-1,-1,-1,OK
1683142763035087,2958697,-1,-1,-1,-1,OK
1683142763043595,2958706,-1,-1,-1,-1,OK
1683142763052102,2958714,-1,-1,-1,-1,OK
1683142763060610,2958722,-1,-1,-1,-1,OK
1683142763069121,2958731,-1,-1,-1,-1,OK
1683142763077623,2958739,-1,-1,-1,-1,OK
1683142763085626,2958747,-1,-1,-1,-1,OK
1683142763093718,2958756,-1,-1,-1,-1,OK
1683142763102099,2958764,-1,-1,-1,-1,OK
1683142763110607,2958772,-1,-1,-1,-1,OK
1683142763118630,2958781,-1,-1,-1,-1,OK
1683142763127630,2958789,-1,-1,-1,-1,OK
1683142763135758,2958797,-1,-1,-1,-1,OK
1683142763143807,2958806,-1,-1,-1,-1,OK
1683142763152111,2958814,-1,-1,-1,-1,OK
1683142763160619,2958822,-1,-1,-1,-1,OK
1683142763169128,2958831,-1,-1,-1,-1,OK
1683142763177629,2958839,-1,-1,-1,-1,OK
1683142763185636,2958847,-1,-1,-1,-1,OK
1683142763194145,2958856,-1,-1,-1,-1,OK
1683142763202685,2958864,-1,-1,-1,-1,OK
1683142763210766,2958872,-1,-1,-1,-1,OK
1683142763219270,2958881,-1,-1,-1,-1,OK
1683142763226273,2958889,-1,-1,-1,-1,OK
1683142763235779,2958897,-1,-1,-1,-1,OK
1683142763243813,2958906,-1,-1,-1,-1,OK
1683142763251855,2958914,-1,-1,-1,-1,OK
1683142763260362,2958922,-1,-1,-1,-1,OK
1683142763268870,2958931,-1,-1,-1,-1,OK
1683142763276873,2958939,-1,-1,-1,-1,OK
