Unix Time, Vive Time,Left Pos x, Left Pos y, Right Pos x, Right Pos y, Eye Position
1683443981765674,3538746,0.3486516,0.6909242,0.3980741,0.4787264,OK
1683443981774178,3538754,0.3486516,0.6912819,0.3980865,0.4790136,OK
1683443981782682,3538762,0.3496217,0.6912819,0.3981552,0.4796504,OK
1683443981790687,3538771,0.3499845,0.6913828,0.3983975,0.4797603,OK
1683443981799203,3538779,0.3501642,0.691427,0.3986346,0.4801369,OK
1683443981806709,3538787,0.3501642,0.6914744,0.3986995,0.480528,OK
1683443981816208,3538796,0.3502145,0.6919439,0.3987423,0.4805758,OK
1683443981823712,3538804,0.3514168,0.696761,0.3999803,0.4840692,OK
1683443981832715,3538812,0.350888,0.6950034,0.4009112,0.4809101,OK
1683443981840227,3538821,0.3494886,0.6967291,0.4014008,0.4833294,OK
1683443981848736,3538829,0.3501192,0.7015985,0.3988726,0.4807884,OK
1683443981857242,3538837,0.3495938,0.7111571,0.4025086,0.4810525,OK
1683443981865749,3538846,0.3377054,0.7126265,0.4091863,0.4865939,OK
1683443981874257,3538854,0.3422533,0.7242684,0.4010306,0.5057028,OK
1683443981880261,3538862,0.3513137,0.8162471,0.3970411,0.5062013,OK
1683443981887773,3538871,0.3192568,0.8550549,-1,-1,OK
1683443981896814,3538879,0.2646329,0.8838899,-1,-1,OK
1683443981904323,3538887,0.3059816,0.875688,-1,-1,OK
1683443981912833,3538896,-1,-1,-1,-1,OK
1683443981920840,3538904,-1,-1,-1,-1,OK
1683443981929346,3538912,-1,-1,-1,-1,OK
1683443981937854,3538921,-1,-1,-1,-1,OK
1683443981945359,3538929,-1,-1,-1,-1,OK
1683443981953868,3538937,-1,-1,-1,-1,OK
1683443981962865,3538946,0.235866,0.86886,-1,-1,OK
1683443981971372,3538954,0.1493082,0.923512,0.3145959,0.5623187,OK
1683443981980876,3538962,0.1609954,0.8857323,0.3198143,0.5370347,OK
1683443981988383,3538971,0.1533692,0.9022632,0.3256496,0.5179095,OK
1683443981997891,3538979,0.2459205,0.7764546,0.3358137,0.511664,OK
1683443982007396,3538987,0.2277261,0.7765952,0.3317447,0.5081519,OK
1683443982014901,3538996,0.273612,0.7382131,0.3327504,0.5034223,OK
1683443982023991,3539004,0.2709271,0.7447673,0.3229527,0.5129521,OK
1683443982034502,3539012,0.2298063,0.7940723,0.336089,0.5022357,OK
1683443982040505,3539021,0.231262,0.794787,0.3336593,0.5060562,OK
1683443982049013,3539029,0.2315318,0.7981038,0.3386105,0.5090064,OK
1683443982058090,3539037,0.2359586,0.7922841,0.3397946,0.5074119,OK
1683443982065599,3539046,0.2428844,0.7786707,0.3370506,0.5125772,OK
1683443982074108,3539054,0.2457393,0.7758324,0.3392119,0.5136704,OK
1683443982082112,3539062,0.2550826,0.794585,0.3400812,0.5120573,OK
1683443982090623,3539071,0.2560598,0.7876762,0.3417083,0.5132593,OK
1683443982099136,3539079,0.2550826,0.785314,0.3432754,0.5129503,OK
1683443982107648,3539087,0.2481804,0.7767934,0.3463555,0.5080652,OK
1683443982116163,3539096,0.2722086,0.7394063,0.3457826,0.5080878,OK
1683443982124669,3539104,0.2725424,0.7462083,0.3485458,0.5103863,OK
1683443982131674,3539112,0.2541621,0.7745934,0.3498313,0.5096224,OK
1683443982141184,3539121,0.2561497,0.7764317,0.3513125,0.508186,OK
1683443982149694,3539129,0.2568053,0.7741745,0.350585,0.5089288,OK
1683443982157201,3539137,0.268828,0.7775574,0.3513558,0.5093619,OK
1683443982165709,3539145,0.2969863,0.7607111,0.3649055,0.5178517,OK
1683443982174217,3539154,0.3391861,0.7625914,0.3881342,0.5284332,OK
1683443982182726,3539162,0.3590219,0.7902614,0.4036653,0.5492894,OK
1683443982190730,3539170,0.390085,0.7942789,0.4154166,0.5496842,OK
1683443982199241,3539179,0.3911657,0.8167965,0.417968,0.5478932,OK
1683443982207751,3539187,0.3931092,0.8040596,0.4169693,0.5481176,OK
1683443982215880,3539195,0.3921394,0.8094212,0.4186344,0.5450099,OK
1683443982224385,3539204,0.3935809,0.8017529,0.4203562,0.5493417,OK
1683443982232891,3539212,0.3943378,0.7943451,0.4189194,0.5503832,OK
1683443982240429,3539220,0.3907989,0.7937027,0.4168851,0.5443181,OK
1683443982248939,3539229,0.3888322,0.8040383,0.4170684,0.5482873,OK
1683443982257451,3539237,0.3851007,0.8108662,0.4152241,0.5450354,OK
1683443982265960,3539245,0.3882336,0.7949663,0.4137584,0.5465677,OK
1683443982274467,3539254,0.3840398,0.7946545,0.4146861,0.544064,OK
1683443982282975,3539262,0.3790235,0.8295947,0.4128577,0.5475662,OK
1683443982290980,3539270,0.3813512,0.8174306,0.4146295,0.5495631,OK
1683443982299030,3539279,0.3823959,0.8072289,0.4142824,0.551412,OK
1683443982307543,3539287,0.3801435,0.7950124,0.4139355,0.550863,OK
1683443982316054,3539295,0.378798,0.8088804,0.4142013,0.552062,OK
1683443982324561,3539304,0.3792506,0.8080131,0.4139355,0.550863,OK
1683443982331563,3539312,0.378798,0.8088804,0.4139144,0.550774,OK
1683443982340598,3539320,0.3764892,0.814273,0.4130375,0.5500304,OK
1683443982349109,3539329,0.3741804,0.8196656,0.4142306,0.5539032,OK
1683443982357380,3539337,0.3688137,0.8209633,0.41167,0.5513283,OK
